network_name,seed_method,threshold,seed_size,budget_total,interaction_1_2,interaction_2_1,smart_method,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,75,2,1,MCICH_SMC,57123,1,0,18753,57164,25,0,18688,57963,11,4,17899
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,379,2,1,MCICH_SMC,57123,1,0,18753,57286,126,0,18465,59460,12,4,16401
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,758,2,1,MCICH_SMC,57123,1,0,18753,57286,126,0,18465,60654,13,5,15205
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1138,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,61714,19,6,14138
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1517,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,62705,22,6,13144
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,1896,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,63609,23,7,12238
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,2276,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,64375,29,7,11466
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,2655,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,65083,24,6,10764
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3035,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,65821,28,6,10022
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3414,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,66566,27,7,9277
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3793,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,67358,38,6,8475
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4173,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,68052,50,7,7768
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4552,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,68778,7062,2,35
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4932,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,69602,6242,2,31
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,5311,2,1,MCICH_SMC,57123,1,0,18753,75857,9,2,9,75817,45,2,13
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,37,2,2,MCICH_SMC,41055,0,0,34822,41059,0,0,34818,41871,3,2,34001
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,75,2,2,MCICH_SMC,41055,0,0,34822,41073,2,9,34793,42322,4,3,33548
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,379,2,2,MCICH_SMC,41055,0,0,34822,41208,33,20,34616,44459,6,5,31407
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,758,2,2,MCICH_SMC,41055,0,0,34822,41208,33,20,34616,46131,6,6,29734
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1138,2,2,MCICH_SMC,41055,0,0,34822,41208,33,20,34616,47733,7,7,28130
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1517,2,2,MCICH_SMC,41055,0,0,34822,41839,70,164,33804,49079,10,9,26779
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1896,2,2,MCICH_SMC,41055,0,0,34822,41839,70,164,33804,50150,9,9,25709
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2276,2,2,MCICH_SMC,41055,0,0,34822,41839,70,164,33804,51260,9,9,24599
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2655,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,52226,10,9,23632
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3035,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,53041,10,9,22817
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3414,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,53979,9,9,21880
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3793,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,54966,10,9,20892
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4173,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,55869,11,10,19987
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4552,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,56705,10,10,19152
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4932,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,57532,10,10,18325
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,5311,2,2,MCICH_SMC,41055,0,0,34822,75857,6,10,4,58417,11,10,17439
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,37,2,2,MCICH_SMC,51935,0,0,23942,51935,0,2,23940,52575,2,1,23299
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,75,2,2,MCICH_SMC,51935,0,0,23942,51973,0,11,23893,52921,4,3,22949
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,379,2,2,MCICH_SMC,51935,0,0,23942,52119,2,28,23728,54613,5,4,21255
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,758,2,2,MCICH_SMC,51935,0,0,23942,52119,2,28,23728,55917,5,5,19950
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1138,2,2,MCICH_SMC,51935,0,0,23942,52119,2,28,23728,57181,6,6,18684
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1517,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,58302,9,9,17557
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1896,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,59319,8,9,16541
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2276,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,60310,8,9,15550
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2655,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,61159,9,9,14700
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3035,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,61900,9,9,13959
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3414,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,62686,8,9,13174
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3793,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,63470,9,9,12389
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4173,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,64280,9,9,11579
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4552,2,2,MCICH_SMC,51935,0,0,23942,75857,7,9,4,65053,8,9,10807
