time,threshold,blocking,state_0,state_1,state_2,state_3
15,4,no_block,-32,-5,-25,62
16,4,no_block,-31,0,-20,51
17,4,no_block,-13,0,-16,29
18,4,no_block,-5,0,-7,12
19,4,no_block,0,0,-3,3
20,4,no_block,0,0,0,0
2,4,mcich,0,0,0,0
3,4,mcich,0,0,0,0
2,4,degree,-6,4,2,0
3,4,degree,-47,40,6,1
4,4,degree,-90,72,16,2
5,4,degree,-83,48,31,4
6,4,degree,-143,36,82,25
7,4,degree,-140,35,66,39
8,4,degree,-54,-23,14,63
9,4,degree,-26,-75,-34,135
10,4,degree,-51,-35,-50,136
11,4,degree,-70,31,-24,63
12,4,degree,-93,54,2,37
13,4,degree,-89,-23,8,104
14,4,degree,-59,-33,-24,116
15,4,degree,-32,-51,-1,84
16,4,degree,-55,-73,14,114
17,4,degree,-92,-10,68,34
18,4,degree,-125,-2,104,23
19,4,degree,-103,0,70,33
20,4,degree,-69,0,3,66
21,4,degree,-54,0,-81,135
22,4,degree,-68,0,-34,102
23,4,degree,-57,0,8,49
24,4,degree,-34,0,7,27
25,4,degree,-48,-1,-11,60
26,4,degree,-86,0,22,64
27,4,degree,-87,0,30,57
28,4,degree,-49,0,-53,102
29,4,degree,-31,0,-52,83
30,4,degree,-23,0,-17,40
31,4,degree,-7,0,-17,24
32,4,degree,-4,0,-30,34
33,4,degree,-5,0,-35,40
34,4,degree,-11,0,-17,28
35,4,degree,-12,0,5,7
36,4,degree,-34,0,29,5
37,4,degree,-15,0,9,6
38,4,degree,-5,0,-3,8
39,4,degree,-4,0,3,1
40,4,degree,0,0,0,0
2,4,random,-30,8,21,1
3,4,random,-328,122,200,6
4,4,random,-287,118,84,85
5,4,random,-350,33,-29,346
6,4,random,-372,-72,93,351
7,4,random,-244,-85,-115,444
8,4,random,-304,61,-53,296
9,4,random,-178,-121,0,299
10,4,random,-160,10,-3,153
11,4,random,-218,43,-3,178
12,4,random,-214,86,-23,151
13,4,random,-251,7,-14,258
14,4,random,-142,-10,-28,180
15,4,random,-74,-33,-16,123
16,4,random,-43,5,-13,51
17,4,random,-24,2,-12,34
18,4,random,-6,-13,0,19
19,4,random,-4,-4,1,7
20,4,random,0,-5,0,5
21,4,random,0,0,0,0
2,2,no_block,-267,43,79,145
3,2,no_block,-1037,-17,164,890
4,2,no_block,-891,-6,-134,1031
5,2,no_block,-1076,58,-21,1039
6,2,no_block,-1005,-24,-27,1056
7,2,no_block,-475,-50,-21,546
8,2,no_block,-141,-5,-38,184
9,2,no_block,-77,-1,-8,86
10,2,no_block,-18,-2,0,20
11,2,no_block,-5,-1,0,6
12,2,no_block,-1,0,0,1
13,2,no_block,-2,0,1,1
14,2,no_block,-2,0,0,2
15,2,no_block,-2,0,0,2
16,2,no_block,0,0,-2,2
17,2,no_block,0,0,0,0
2,2,mcich,-267,43,79,145
3,2,mcich,-1037,-17,164,890
4,2,mcich,-891,-6,-134,1031
5,2,mcich,-1076,58,-21,1039
6,2,mcich,-1005,-24,-27,1056
7,2,mcich,-475,-50,-21,546
8,2,mcich,-90,-5,-28,123
9,2,mcich,0,0,0,0
2,2,degree,-231,43,85,103
3,2,degree,-726,5,243,478
4,2,degree,-760,-23,80,703
5,2,degree,-667,8,66,593
6,2,degree,-854,25,86,743
7,2,degree,-802,0,-17,819
8,2,degree,-381,-56,-124,561
9,2,degree,-170,-7,-129,306
10,2,degree,-69,0,-81,150
11,2,degree,-41,0,-36,77
12,2,degree,-23,0,-20,43
13,2,degree,-15,0,-22,37
14,2,degree,-9,0,-3,12
15,2,degree,-4,0,-7,11
16,2,degree,0,0,-6,6
17,2,degree,0,0,-3,3
18,2,degree,0,0,0,0
2,2,random,-266,45,81,140
3,2,random,-1032,-10,218,824
4,2,random,-881,39,-86,928
5,2,random,-1073,59,41,973
6,2,random,-1004,-3,-29,1036
7,2,random,-486,-45,-34,565
8,2,random,-142,-9,-47,198
9,2,random,-79,0,3,76
10,2,random,-22,-3,8,17
11,2,random,-6,1,2,3
12,2,random,-1,0,1,0
13,2,random,-2,0,2,0
14,2,random,-2,0,2,0
15,2,random,-2,0,2,0
16,2,random,0,0,0,0
2,3,no_block,-97,38,55,4
3,3,no_block,-589,155,369,65
4,3,no_block,-571,-122,326,367
5,3,no_block,-565,-21,-61,647
6,3,no_block,-413,-40,-129,582
7,3,no_block,-521,-12,-47,580
8,3,no_block,-551,-3,-2,556
9,3,no_block,-332,0,-136,468
10,3,no_block,-175,0,-167,342
11,3,no_block,-113,0,-74,187
12,3,no_block,-83,0,-42,125
13,3,no_block,-52,0,-40,92
14,3,no_block,-24,0,-29,53
15,3,no_block,-5,0,-25,30
16,3,no_block,-5,0,0,5
17,3,no_block,-2,0,-3,5
18,3,no_block,-2,0,0,2
19,3,no_block,0,0,-2,2
20,3,no_block,0,0,0,0
2,3,mcich,0,0,0,0
3,3,mcich,0,0,0,0
2,3,degree,-67,33,33,1
3,3,degree,-259,84,152,23
4,3,degree,-316,28,172,116
5,3,degree,-270,-53,132,191
6,3,degree,-231,22,86,123
7,3,degree,-235,22,32,181
8,3,degree,-319,-37,58,298
9,3,degree,-277,-69,38,308
10,3,degree,-263,-22,23,262
11,3,degree,-301,-10,-29,340
12,3,degree,-281,-2,-52,335
13,3,degree,-222,-1,-29,252
14,3,degree,-269,0,93,176
15,3,degree,-216,0,8,208
16,3,degree,-103,0,-193,296
17,3,degree,-52,0,-150,202
18,3,degree,-22,0,-100,122
19,3,degree,-9,0,-61,70
20,3,degree,-6,0,-17,23
21,3,degree,-3,0,-5,8
22,3,degree,-1,0,-8,9
23,3,degree,-1,0,-6,7
24,3,degree,0,0,-1,1
25,3,degree,0,0,0,0
2,3,random,-95,37,54,4
3,3,random,-583,152,368,63
4,3,random,-566,-119,331,354
5,3,random,-565,-15,-30,610
6,3,random,-412,-35,-79,526
7,3,random,-517,-1,-58,576
8,3,random,-545,8,-5,542
9,3,random,-343,15,-115,443
10,3,random,-174,11,-170,333
11,3,random,-106,7,-75,174
12,3,random,-75,4,-42,113
13,3,random,-53,10,-38,81
14,3,random,-29,9,-23,43
15,3,random,-20,16,-22,26
16,3,random,-4,1,-1,4
17,3,random,0,0,-3,3
18,3,random,0,0,0,0
2,4,no_block,-24,15,9,0
3,4,no_block,-165,58,106,1
4,4,no_block,-346,144,195,7
5,4,no_block,-263,-31,242,52
6,4,no_block,-336,-114,321,129
7,4,no_block,-467,-6,291,182
8,4,no_block,-273,-1,-160,434
9,4,no_block,-181,-9,-413,603
10,4,no_block,-230,-41,-117,388
11,4,no_block,-265,-19,24,260
12,4,no_block,-281,-1,80,202
13,4,no_block,-179,0,-81,260
14,4,no_block,-113,0,-158,271
15,4,no_block,-50,0,-154,204
16,4,no_block,-39,0,-81,120
17,4,no_block,-15,0,-50,65
18,4,no_block,-7,0,-35,42
19,4,no_block,-1,0,-18,19
20,4,no_block,0,0,-7,7
21,4,no_block,0,0,-1,1
22,4,no_block,0,0,0,0
2,4,mcich,0,0,0,0
3,4,mcich,0,0,0,0
2,4,degree,-18,14,4,0
3,4,degree,-76,46,30,0
4,4,degree,-66,8,58,0
5,4,degree,-38,1,37,0
6,4,degree,-118,-1,118,1
7,4,degree,-175,0,175,0
8,4,degree,-169,-1,169,1
9,4,degree,-150,0,150,0
10,4,degree,-113,0,113,0
11,4,degree,-77,0,77,0
12,4,degree,-108,-1,108,1
13,4,degree,-94,-1,94,1
14,4,degree,-105,-1,105,1
15,4,degree,-144,-1,144,1
16,4,degree,-158,-9,158,9
17,4,degree,-108,-46,108,46
18,4,degree,-76,-12,76,12
19,4,degree,-54,-1,54,1
20,4,degree,-57,0,57,0
21,4,degree,-71,0,71,0
22,4,degree,-65,0,65,0
23,4,degree,-53,0,53,0
24,4,degree,-70,0,70,0
25,4,degree,-43,0,43,0
26,4,degree,-16,0,16,0
27,4,degree,-3,0,3,0
28,4,degree,0,0,0,0
2,4,random,-23,15,8,0
3,4,random,-157,55,101,1
4,4,random,-340,143,191,6
5,4,random,-256,-31,236,51
6,4,random,-306,-110,292,124
7,4,random,-478,1,307,170
8,4,random,-275,7,-134,402
9,4,random,-177,1,-384,560
10,4,random,-174,-24,-164,362
11,4,random,-257,-18,33,242
12,4,random,-275,7,83,185
13,4,random,-183,4,-11,190
14,4,random,-115,6,-80,189
15,4,random,-47,5,-152,194
16,4,random,-34,2,-126,158
17,4,random,-51,5,-27,73
18,4,random,-64,13,24,27
19,4,random,-14,6,-13,21
20,4,random,-2,0,-34,36
21,4,random,-1,1,-22,22
22,4,random,0,0,-37,37
23,4,random,0,0,-2,2
24,4,random,0,0,0,0
2,2,no_block,-261,125,18,118
3,2,no_block,-887,249,106,532
4,2,no_block,-1076,426,-8,658
5,2,no_block,-1214,61,-96,1249
6,2,no_block,-953,-324,-11,1288
7,2,no_block,-387,-363,0,750
8,2,no_block,-138,-123,-12,273
9,2,no_block,-58,-47,-1,106
10,2,no_block,-13,-10,0,23
11,2,no_block,-4,-1,0,5
12,2,no_block,-1,-1,0,2
13,2,no_block,-1,0,0,1
14,2,no_block,-2,0,0,2
15,2,no_block,-2,0,0,2
16,2,no_block,-2,0,0,2
17,2,no_block,0,0,0,0
2,2,mcich,-261,125,18,118
3,2,mcich,-887,249,106,532
4,2,mcich,-1076,426,-8,658
5,2,mcich,-1214,61,-96,1249
6,2,mcich,-953,-324,-11,1288
7,2,mcich,-354,-396,77,673
8,2,mcich,-120,-141,120,141
9,2,mcich,-97,-8,97,8
10,2,mcich,-19,0,19,0
11,2,mcich,0,0,0,0
2,2,degree,-242,111,51,80
3,2,degree,-656,93,210,353
4,2,degree,-708,212,91,405
5,2,degree,-1064,-72,139,997
6,2,degree,-1135,-190,188,1137
7,2,degree,-727,-76,-91,894
8,2,degree,-261,-57,-180,498
9,2,degree,-107,-23,-66,196
10,2,degree,-32,-5,-35,72
11,2,degree,-6,-1,-15,22
12,2,degree,-5,0,-7,12
13,2,degree,-1,0,-9,10
14,2,degree,-2,0,-1,3
15,2,degree,-2,0,-1,3
16,2,degree,-2,0,0,2
17,2,degree,0,0,0,0
2,2,random,-259,123,18,118
3,2,random,-883,245,114,524
4,2,random,-1061,413,4,644
5,2,random,-1203,63,-65,1205
